Team,DraftKings Betting Odds,Fanduel Betting Odds,Caesars SportsBook Betting Odds,BetMGM Betting Odds,Average Betting Odds,Win Percentage
KC,350,330,350,325,338.75,0.824
BUF,400,400,375,375,387.5,0.813
CIN,800,750,800,750,775,0.75
JAX,5000,5000,5000,5000,5000,0.529
BAL,3500,5000,5000,4000,4375,0.588
LA,2000,2100,2200,2500,2200,0.588
MIA,6000,10000,10000,8000,8500,0.529
PHI,550,500,550,500,525,0.824
SF,500,500,450,450,475,0.765
MIN,3500,3000,3000,3000,3125,0.765
TB,2800,2800,2800,2500,2725,0.471
DAL,1200,1300,1300,1600,1350,0.706
NY,5500,5500,5000,6600,5650,0.559
SEA,7000,8500,5000,10000,7625,0.529
